severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,387,javascript:S7735,Unexpected negated condition.,2min,2026-05-18T17:31:29+0000,2026-05-18T17:31:29+0000,AZ48LLdxIe9tYq10TrDK
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/ExecutionSafetyModelPanel.js,36,javascript:S6774,'compact' is missing in props validation,5min,2026-05-18T17:31:23+0000,2026-05-18T17:31:29+0000,AZ48LLiIIe9tYq10TrDL
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,99,javascript:S2486,Handle this exception or don't catch it at all.,1h,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zW
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,338,javascript:S6774,'tone' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zX
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,338,javascript:S6774,'children' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zY
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,342,javascript:S6774,'label' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zZ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,342,javascript:S6774,'value' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9za
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,351,javascript:S3776,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,8min,2026-05-18T15:01:41+0000,2026-05-18T17:31:29+0000,AZ47pBf15lyeSo52z9zb
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,351,javascript:S6774,'execution' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zc
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,351,javascript:S6774,'compact' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zd
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,372,javascript:S6774,'execution.playbook_id' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9ze
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,372,javascript:S6774,'execution.id' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zf
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,376,javascript:S6774,'execution.status' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zg
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,377,javascript:S6774,'execution.status' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zh
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,396,javascript:S6774,'execution.recovery_count' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zi
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,399,javascript:S6774,'execution.recovery_count' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zj
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,400,javascript:S6774,'execution.recovery_count' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zk
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,448,javascript:S7735,Unexpected negated condition.,2min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zl
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,450,javascript:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,6min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zm
MINOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,484,javascript:S7735,Unexpected negated condition.,2min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zn
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,511,javascript:S6774,'label' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zo
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/PlaybookExecutionTimeline.js,511,javascript:S6774,'value' is missing in props validation,5min,2026-05-18T15:01:41+0000,2026-05-18T15:01:47+0000,AZ47pBf15lyeSo52z9zp
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/App.test.js,35,javascript:S6774,'userRole' is missing in props validation,5min,2026-05-18T14:43:10+0000,2026-05-18T14:43:10+0000,AZ47kcImro12fno-dVD8
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/App.test.js,35,javascript:S6774,'currentUsername' is missing in props validation,5min,2026-05-18T14:43:10+0000,2026-05-18T14:43:10+0000,AZ47kcImro12fno-dVD9
CRITICAL,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,207,javascript:S3776,Refactor this function to reduce its Cognitive Complexity from 35 to the 15 allowed.,25min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDc
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,292,javascript:S3358,Extract this nested ternary operation into an independent statement.,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDd
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,488,javascript:S6774,'tone' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDe
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:frontend/src/components/SocCommandCenter.js,488,javascript:S6774,'children' is missing in props validation,5min,2026-05-18T14:43:03+0000,2026-05-18T14:43:10+0000,AZ47kcAMro12fno-dVDf
