severity,status,component,line,rule,message,effort,creationDate,updateDate,key
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_integration_adapters.py,804,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-18T14:00:54+0000,2026-05-18T14:00:54+0000,AZ47ZezsnydhvRWjk2E8
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_playbook_metrics_routes.py,131,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T17:58:06+0000,2026-05-17T17:58:06+0000,AZ43Hlh2L63nvjzRy9nY
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_playbook_metrics_routes.py,163,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T17:58:06+0000,2026-05-17T17:58:06+0000,AZ43Hlh2L63nvjzRy9nZ
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_playbook_metrics_routes.py,209,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T17:58:06+0000,2026-05-17T17:58:06+0000,AZ43Hlh2L63nvjzRy9na
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_playbook_metrics_routes.py,336,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T17:58:06+0000,2026-05-17T17:58:06+0000,AZ43Hlh2L63nvjzRy9nb
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_metrics_routes.py,195,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T15:51:03+0000,2026-05-17T15:51:03+0000,AZ42p9Y6BrFcw9uEGXN5
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_metrics_routes.py,205,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T15:51:03+0000,2026-05-17T15:51:03+0000,AZ42p9Y6BrFcw9uEGXN6
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_metrics_routes.py,218,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T15:51:03+0000,2026-05-17T15:51:03+0000,AZ42p9Y6BrFcw9uEGXN7
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_metrics_routes.py,228,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T15:51:03+0000,2026-05-17T15:51:03+0000,AZ42p9Y6BrFcw9uEGXN8
MAJOR,OPEN,jadenwashere6101_siem-security-dashboard-public:tests/test_metrics_routes.py,258,python:S2068,"""password"" detected here, review this potentially hard-coded credential.",30min,2026-05-17T15:51:03+0000,2026-05-17T15:51:03+0000,AZ42p9Y6BrFcw9uEGXN9
